Índice;Comentário Original;Sentimentos_manual
168;Histórias muita estranha será que VOCÊS meninos contaram você sabia.;NEU
169;EU SOU O BOBO ESPONJA EHHEHEHEHEHEHE??;POS
170;POR ISSO O LULA TEM 4 DEDOS??? ????????;POS
171;Spogebob tem a mesma idade que a minha mãe KKKKKKKKKKKK;POS
172;Eu adoro muuuuuuiiiitooo os suas curiosidades???;POS
173;@mundodoscururus??;NEG
174;@Mundocururus;NEG
175;Esse canal e bom di saber as coisas i e divertido;NEU
176;Simpsons evolução dos minions;NEU
177;Oiii??;POS
178;M;NEU
179;"Oii meu anjo ?? ???????????????????????????
Tudo bem ???? ????????????????????????????????????????????????????????????";POS
180;Oi??;POS
181;Poderia ser a liza;NEU
182;Bob esponja já pode se aposentar KKKKK;NEU
183;Eu assisto vcs desde 10 anos hj em dia eu tenho 15 eu acho legal os videos de vcs?;POS
184;amo o lukas;POS
185;?Simpson ??;POS
186;????????;NEG
187;Kkkkkk;POS
188;Perdi 2mil nessa brincadeira;NEG
189;Faz um video falando de pompeia a cidade que sofreu com a erupção de um vulcão;NEU
190;...tá explicado...o L...deve ter sido pego pela yakuza. Kkk;NEG
191;A foto poderia ser da Lisa...;NEU
192;Alguém em 2077;NEU
193;Ah??;NEG
194;Esses caras são demais!;POS
195;Adoro o canal mas pessoal essa malta da bret pagou bem ein kkkkkkk;POS
196;Não era a maqui era a lisa qua do era um bebê;NEG
197;Poh man , faz um “Você Sabia pelo mundo “ , abre uma caixinha para a galera ajudar e vcs fazem videos (umas reprises dos vídeos antigos ) falando sobre o acidente de Chernobyl, Mitologia Grega , ver objetos históricos , falando sobre culinária e culturas de diversos países , cidades fantasmas entre outras coisas de diversos contextos históricos, acredito que assim como eu , diversos fãs do trabalhos de vcs que lhes acompanham a bastante tempo já estamos cansados de esperar! Esse quadro tá demorando de mais !;NEG
198;Façam um vídeo sobre as teorias de brawl stars;NEU
199;Que ama , a gente so ama deus gosta dele gosta dele ?;POS
200;Ninguém me dá like????;NEG
201;7;NEU
202;Eu adoro memes eu flopa é um gato bem;POS
203;Oxi, a do quadro é a Liza Bebê uai;NEU
204;Esqueceram que eles tem a Lisa, pode ser um quadro da Lisa.;NEU
205;toligado que vcs vao pro bbb25;NEU
206;"Ben
Legal";POS
207;Não é a Meg é a lisa, da pra ver no fundo da escada que tem o Bart bebe também;NEU
208;Vcs ensinos melhores do quer a escola;POS
209;"ALGO QUE JAMAIS FOSSE VISTO    ?  ?    
UÉ .......";NEG
210;alguém aqui já em 2025?;NEU
211;Alguem em 2040;NEU
212;+ 1 Inscrito;NEU
213;EuSou ótimo palo;POS
214;Eu sou poppy playtime;NEU
215;L;NEU
216;L;NEU
217;"ali na parede 2:20 o retrato  é da Lisa quando bebe e não da Meg ; ) eu tbm pensei que fosse a Meg. mais entendi que é a Lisa bebe ...";NEU
218;Eu sou o Superman ??;NEG
219;??????????????????;NEG
220;Mais pq la na Disney da França no EUA e em em outros países que tem Disney eles tem 5 dedos????;NEU
221;Mn adorei essa câmera mostrado o cenário kkkkk??;POS
222;Mn adorei essa câmera mostrado o cenário kkkkk??;POS
223;eu amava a música dos Simpsons???ate que ?? 2:46;NEG
224;Uau;POS
225;Eu tô achando que vcs 2 está faltando um parafuso. pois a terra nunca será destruída eclesiaste 1:4 e Isaías 45:17,18.;NEU
226;"Então lula já foi castigado pela Yakuza.
??????????????";POS
227;E se na foto for a Lisa,quando bebê e não a Maggie??? ????????????;NEU
228;O número e 847.63;NEU
229;O Lucas imitando o Bob esponja me lembrou que sei imitar também jkkkkkkkk;POS
230;não era mag e sim lisa bebe na foto;NEU
231;Era a liza ué;NEU
232;Nossa senhora;NEU
233;Mas por que o Bob Esponja se chama Bob Esponja calça quadrada à calça dele não é Quadrada;NEU
234;????;NEU
235;Ei vocês poderiam fazer um vídeo sobre os ovinis lá em nova jersey;NEU
236;É a Elisa quando bebê gente, pelo amor de Deus;NEU
237;Eu sou a vingança;NEG
238;Façam um vídeo sobre os Ovnis no USA, assunto do momento;NEU
239;Boa tarde! Vcs vão falar sobre o assunto q estão falando sobre a terra está sendo invadida?;NEU
240;Eu sou o supermam eu seii voar já fui nas nuvens e voltei ??;POS
241;E não era a megie no quadro era a liza pq elas são MT parecidas.;NEU
242;Eu assisto vocês desde que eu tinha 10 anos, agora tenho 14, os vídeos de vocês é muito bom, façam mais viu;POS
243;Não sabia que eles eram Anjos ao invez de Fadas;NEU
244;Ouuuu fala da DOG TBM;NEU
245;??????????????????????;POS
246;Nao era a maggie, mas a Lisa nos Simpsons;NEU
247;Adriannn;NEU
248;Dei ontem.;NEG
249;2:21 provavelmente essa foto é da marge bebê;NEU
250;A meg é a lisa quando pequena;NEU
251;Anos de uma pessoa akakakak 400 e pouco;NEU
252;Sou muito fan de vcs;POS
253;Curiosidade: alguns criminosos aqui no Brasil também têm 4 dedos.;NEG
254;Eu sei quantos anos o Bob Esponja tem ele tem 23 anos;NEU
255;Os Simpsons previram sua filha ??;NEU
256;Essa câmera diferente mostrando;NEU
257;Cara achei mtt legal eles amostrando o estudio ??;POS
258;Eu amo esse canal?;POS
259;Esse valor pode ser o valor da chupeta Bem cara né;NEU
260;O quadro nao é a maggie, é a marge pequena;NEU
261;E o melhor desenhos de ensinar coisas ???? amo esses vídeos ??????;POS
262;Faz um vídeo sobre o tiktaalik;NEU
263;??????????;POS
264;Você Sabia?;NEU
265;Meu Deus ??;NEU
266;2:12 pôde ser a Lisa pq o lacinho é verde e ela não está de chupeta;NEU
267;E se não for a Meg na foto e sim a lisa?;NEU
268;Se isso for os anjos meu Deus do céu que medo kkk;NEG
269;Aquela lá atrás é a lisa,  não é a Maggie??????;NEU
270;??????;NEU
271;Os minions: eu nao existo;NEG
272;Esse da maggie nao seria a lisa mais nova ?? Kkkk;NEU
273;Oi????;POS
274;Desse eu não sabia...;NEU
275;Eu tenho e pressentimento de já ver esses vídeos antigos;NEU
276;vuce sabia k a minha maemae me bateu hj fais um vidio sobe iso;NEU
277;E não falou da casa do Lula Molusco;NEG
278;QUEM ganhou o Você sabia prêmios??;NEU
279;Amo os seus videos vey muito dá hora amo demais;POS
280;Bob esponja é 14/07 e eu sou 15/07, quaaaase;NEG
281;muito eu;POS
282;Eu sou o NEYMAR;NEU
283;Eu sou a poew rendy rosa;NEU
284;A foto da Meggie na parede pode ser a Lisa na verdade...;NEU
285;ad de crypt tnc ein;NEU
286;????;POS
287;0:00;POS
288;0:0;POS
289;Gente no caso da magan poderia ser a lisa bb;NEU
290;Vídeobom;POS
291;uhuu;POS
292;top d+++++++!!!!! amei dms, meninos :);POS
293;Alguém ei 2050;NEU
294;E os minhos;NEG
295;Mas e se o quadro foi da lisa;NEU
296;5:48 acho que foi pra mostrar que Deus é superior no sentido de ser perfeito.;NEU
297;fala sobre os alienígenas;NEU
298;As dizem que o Dani joga free fire será?;NEU
299;Aquela pode não ser a Mag Maia sim a lisa pois as 2 duas são bem parecidas e bebe elas poderiam se idênticas ??????;NEU
300;Eu sei fazer a voz do Bob esponja;NEU
301;Não tem mais o puxa o vinheta?;NEG
302;Essa na foto não é a Meg essa na foto o laço é verde ela e a lisa porque são muito parecidas ?;NEG
303;talvez o bebe do quadro seja a Lisa;NEU
304;Alguém em 2019 ?;NEU
305;??;POS
306;e porcausa que e a irma dela;NEG
307;Por favor, fazem um vídeo sobre os Montes Apalaches, sobre as coisas misteriosas que acontecem por lá;NEU
308;"Dez segredos sobre o VC SABIA,.......ficaram ricos e ficam colocando vídeos antigos, quando o canal era bom kkkkkkk

Dps mais 9";POS
309;Decadência do canal kkkkk ficaram ricos .....aí colocam vídeo do início do canal;NEG
310;A criança do quadro é a Lisa quando era bb.;NEG
311;"O dia no aniversário do Bob esponja é quase o meu Olha 
14/07/2013 conencidencia acho que não";NEG
312;O quadro da maggie pode falar que era a lisa quando criança, simples;NEG
313;Eu pensava que estava calculando a chupeta da Megue;NEG
314;Tá explicado o pq do lula ter só 4 dedo em um mão;NEG
315;Eu nunca vi esse desenho aívocê;NEU
316;Por que teve um número eu não sei de quem foi essa ideia louca;NEU
317;Como é que teve essa coisa de desenho aí;NEG
318;6:06  ENTÃO O NOSSO PRESIDENTE JÁ FOI JAPONÊS???...;POS
319;Os simpsons  é tão cabuloso que preveu até a imagem da filha no próprio desenho kkkkkk;NEG
320;Os minios são amarelos;NEG
321;Eu que n;NEU
322;vocês são os melhores brasileiros da vida ??;NEG
323;Bem que eu percebi que o Lula molusco era Sigma;NEG
324;O quadro não é da magiie sim da lisa que são idênticas;NEG
325;Na verdade não é a mag e sim a lisa! A  Mag tem o laço azul lisa usava verde;NEU
326;Eu sou padrin rei do raggae,eu realmente sou o padrinho mágico;NEU
327;Pode ser a foto da lisa;NEG
328;Nada disso os Simpsons já estavam prevendo o nascimento da maggie kkk;NEU
329;?;POS
330;Amei o vídeo amo o vídeo de vcs! :D;POS
331;N é a Meg, é a lisa bebê;NEG
332;a foto no quadro pode ser da lisa , da pra perceber a semelhança entre as duas;NEU
333;não e a Meg no quadro EA lisa bebe as duas são iguais mesmo cabelo;NEG
334;"A forma que eles usam essa câmera que pega todo o estúdio me incomoda.
Parece meio amador. Dá um pouco de vergonha alheia.";NEG
335;Dani molo tava rachando kkk;NEG
336;Podia ser a liza ne kkk ow a Megue msm;NEG
337;Pf para de fazer esss transição de câmera e muito chato e não  dá tontura;NEU
338;Era a Lisa, simples.;NEG
339;Alguém de 2034;NEU
340;nossa, fazia um tempinho que nao assistia vídeo deles, que nostalgia ?;NEU
341;Dani verdade que você já jogou num time de free fire que se chama Magic squad e ganhou um mundial?;NEU
342;"Bommm vídeoooo
Podem trzr + desse tipo 
???";NEU
343;Pra anjos eles são bem bizarro;NEG
344;A foto é da.lisa que é cara da megui;NEG
345;No quadro pode ser a lisa e não a megue;NEG
346;Só eu acho que eles não é ser humano??;NEG
347;??;POS
348;na foto nao era Maggy era a Lisa bebe;NEG
349;Faz sobre Mr Picklesss;NEU
350;O rick nao é o morty mas ele nao é o avo original do morty ele nunca teve um neto;NEU
351;8:53 tbm tem outra versão la final da sala  de camisa amarela;NEG
352;Na vdd a cor amarela chama desejo e vermelho atrai a fome ,por isso o mc Donald usa amarelo e vermelho;NEG
353;"Nao acredito que nao tem mais o ""puxa vinheta"" ??";NEG
354;O Bob Esponja tem a mesma idade que eu, nasceu um mês depois dahhhhhhhhh...??????;NEU
355;Patrick e kurilin tem algo em comum não tem nariz;NEG
356;Eles não ficam feios nunca ???????;NEU
357;Eu amo o trabalho de vcs. Aprendo muito;POS
358;Essa thumbnail fake ?;POS
359;No quadro não é a Meguie e sim a Lisa bocaberta.;NEU
360;Gostei;POS
361;Salve vc sabia tudo bem quando vai sair videos de dinossauros ?;NEU
362;??;POS
363;Daniel molo e Lucas marques,os melhores do yt.;POS
364;Show de bola ??????????????????????;NEU
365;Voces tem que gravar mais vídeos sobre teorias da conspiração, acontecimentos do universo, misterios e etc... Ja tem uma era que vcs so posta videos bobos.;NEG
366;Essa foto não é da Meg e sim da lisa.;NEG
367;façam logo um vídeo sobre que os aliens estão no mar e não no ceu????????????;NEU
368;Esse bigode do Daniel tá idêntico a um cachecol de rola ????????;NEG
369;Alguém já parou pra pensar que poderia ser a liza bebê no quadro?;NEU
370;aquele sorteio é se vdd mesmo? ou é golpe? n vejo vcs falando;NEU
371;2:22 pode ser que o quadro seja da Lisa bebê;NEU
372;Dos Simpsons ser amarelo descobri adulto;NEU
373;Eu gosto muito assistido varios vídeos nas minhas ??folgas do trabalho!????;POS
374;Dos Simpsons descobri adulto;NEU
375;Falem sobre os alienígenas no oceano;NEG
376;Falem sobre os alienígenas no oceano;NEG
377;Falem sobre os alienígenas no oceano;NEG
378;Falem sobre os alienígenas no oceano falam sobre os alienígenas no oceano;NEG
379;Falem sobre os alienígenas no oceano;NEG
380;Falem sobre os alienígenas do oceano;NEG
381;Falem sobre os alienígenas no oceano;NEG
382;Faz um vídeo atualizado falando sobre os ET;NEU
383;Atualização do caso dyddy?;NEG
384;Esse quadro deve ser a lizz;NEU
385;Eu esperando sair o vídeo sobre os alienígenas;NEU
386;Passamos e ainda esse canal cada dia melhora esse canal o melhor melhor canal do mundo;POS
387;Faz video falando sobre os aliens no mar;NEU
388;você sabia, falem sobre a existência de ovnis e as teorias sobre isso como leviatã e etc;NEU
389;Oii;POS
390;Volto 2026;POS
391;Sobre o quadro da Mag acredito eu que era a mãe dela mais nova;NEU
392;Quantos anos vcs tem?;POS
393;No caso do quadro dos simpsons nao é Maggie mas sim a Lisa em pequena.??;NEU
394;Lucas Marques gostoso como sempre;POS
395;Oi;POS
396;vocês vao fala sobre os alienígenas???!!!!???;NEU
397;O quadro que aparece quando a Marge está grávida, pode ser da Liza quando bebê.;NEU
398;Ai vey amos esses vídeos ??;POS
399;Vcs são feras mt sucesso;POS
400;Eu esperando eles posta sobre os alienígenas que vazaram a existência;NEG
401;Ei galera tomará que eles falem dos alienígenas que a NASA confirmou;NEG
402;O quadro da Magie pode ser a Liza, quando nasceu ??;NEU
403;Nossa não mudaram nada, ta a mesma coisa parece que voltei no tempo ??????;NEU
404;Saudades da puxada da vinheta;NEU
405;Mas ficar levantando e sentando cansa kkkkk;NEG
406;A risada do Lukas é muito bonitinha,amei o vídeo ?;POS
407;Boa noite eu gostaria que vocês falassem do casa eliza samudio por favor ????;NEG
408;Agora que descubri que o vídeo é novo kkkkk;NEU
409;Faz sobre o zumbi dos Palmares;NEU
410;RAIOS GLOBULARES;POS
411;Dani você já jogou no campeonato de free Fire é por essa não esperava?;NEU
412;Faz um vídeo sobre a brett;NEU
413;Muitas destas teorias são bem complicadas…mas acabam fazendo algum sentido.;NEU
414;A rimada de dele no começo do vídeo;NEU
415;O Bob esponja tenha a minha idade;POS
416;Pppppmiiki??ompokmmmokpmmmokkmomppoomopkmpol.mppopoopkpkpooo kk mó kk km popô kk o kk mpopppkkp kk;NEU
417;????????isso séria encrivel,;POS
418;Mano quem acha que esse Bret já ficou enjoativo?;NEG
419;2100??;POS
420;EO;POS
421;Esa câmera  se;NEU
422;Oloku o Bob esponja é mais velho que eu ????????;NEU
423;O lula molusco virou Sigma kkkk;NEG
424;Vocês podiam fazer teorias da tartarugas Ninjas, quem concorda curte!!;NEU
425;Quem foi c s Lewis;NEG
426;Meninos, a palavra correta é desfecho.;NEU
427;Pode fazer quem foi c s Lewis;NEG
428;Essa não é a Meg é a lisa quando bebê;NEG
429;"ManOoo os anos se passam e vocês continuão sendo os melhores ?
Pura nostalgia?";POS
430;Amo estes dois há anos ?;POS
431;Esse dos padrinhos mágicos ja sabia. Mas de resto estou chocada. Minha infância foi uma farsa kkkk????;NEU
432;??????????;POS
433;Por favor;NEG
434;Fala sobre o caso dos caras que afirmaram que extraterrestre existem ??;NEU
435;gostei da camera nova, parecem o eminem cantando kkkkkkkk muito bom;POS
436;Eu nem sabia que o pai do gary animal de estimação do Bob Esponja Existise inacreditável;NEU
437;"Faz um vídeo falando sobre os ""alienígenas""!!";NEU
438;Como Bob sponja tem CNH vencida se ele nunca conseguiu tira habilitação ??;NEU
439;Tô só esperando o vídeo sobre os alienígena no fundo do mar;NEU
440;Faz um vídeo sobre alienígenas se escondendo nos fundos do oceano, por favor!!!!;NEU
441;?? Minions Minions Flamengo amarelo ????;NEG
442;PARABÉNS PELOS 46,9 MIL DE INSCRITOS;NEG
443;Único Angolano aqui ????????????;NEU
444;saudades desse tipo de vídeo ?;NEU
445;Cara respeito a escolha de cada um!! Mais para mim os anjos não são assim não Manow  troço Horrendo ????;NEG
446;Eu gosto mais do sabia fo que do você;POS
447;Oi;POS
448;Poderia tirar um pouco do seu tempo para orar? PAI CELESTIAL  SANTIFICADO TEU NOME VENHA O TEU REINO SEJA FEITA TUA VONTADE NA TERRA COMO É FEITA NOS CÉUS NOSSO PÃO DIÁRIO NOS DÁ HOJE PERDOE NOSSOS PECADOS COMO PERDOAMOS OS QUE PECARAM CONTRA NÓS NOS DESVIE DA TENTAÇÃO LIVRA - NOS DO MAL TEU É O REINO O PODER E A GLORIA PARA TODO O SEMPRE ASSIM SEJA EM NOME DE JESUS CRISTO DE NAZARÉ AMÉM??;NEU
449;aqui é de montes claros e o canal está de parabéms continue assim;NEU
450;Tira que eu vou cagarrrrrrrrrr;NEU
451;Obrigada por continuar insistindo na gente sempre ?;NEG
452;Todo mundo que assiste Bob Esponja sabe muito bem que ele nunca conseguiu tirar habilitação;NEU
453;Quem tiver mais likes e gay;NEG
454;Que nostalgia mn esse canal;NEG
455;2:23 E se de repente for a Lisa?;NEU
456;Você sabia fala sobre a confirmação de aliens no oceano por favor ??;NEU
457;?????;POS
458;Tô aguardando o vídeo falando sobre os aliens kkkkkkkkkk;NEU
459;Vídeo novo ou repeteco?;NEU
460;Vamos Vascão;POS
461;Vamo perguntar pro Lula o porque de 4 dedos em uma mão kkkkkkkkkkkkkkk;NEG
462;????;POS
463;Faz um vídeo falando da teoria do Scooby doo! Que ele é o vilão;NEU
464;Sao irmãos?;NEU
465;Faz tempo que acompanho vcs;NEU
466;Na verdade a bebezinha do quadro é a Lisa, e não a Maggie!;NEU
467;Ou você sabia Por que vocês não faz o vídeo do Sonic 3;NEU
468;Video top, fazem mais desse modeloooo;POS
469;Falem sobre alienígenas nos oceanos;NEU
470;??????????;POS
471;Pessoal do você sabia vocês podiam fazer um vídeo contando a história de Mike tyson seria bem legal;NEU
472;-E? ??s?? ??ss? ?????, ????? ??? ??;POS
473;Nem sei quem é essa brett;NEU
474;Mano é os alienígenas que chegam no Estados Unidos,  ????;NEG
475;Pq vc não fala sobre a possível 3 guerra mundial;NEU
476;2:20 uai, pode ser a liza;NEU
477;Só quem ama eles vai curtir ??;NEG
478;Siiiii;POS
479;PODE FAZER 1 VIDIO SOBRE O GODZILLA;NEU
480;Mn sou muito fã dos dois mns??;POS
481;Ahhhhh Bob ??;NEU
482;Cenário bonito 4:29;POS
483;Sim;NEU
484;????;POS
485;Curti só quem ama esse canal ?;POS
486;Caraca ja acompanho essr canal desde 2017??;POS
487;Nunca  nem vi;NEU
488;Oia que ??;NEG
489;Gostei dessa filmagem , mostrando o estúdio , tá top DMS!!!;POS
490;MANO FALA DESSAS NOTICIAS QUE TAO TENDO QUE TAO FALANDO QUE TEM ALIENÍGENA NO OCEANO SEI LA;NEG
491;"Eu acho a explicação do ""Sabia"" muito melhor doq a do ""Voce"". Parabens pelo sucesso, Você e Sabia ?";POS
492;Oooh louco ??;POS
493;A foto da Meg pode ser a lisa quando era bebê.;NEG
494;Os simpsons SnospMIS;POS
495;Eu todo esse tempo assistindo os desenhos animados e não sabia desses segredos escondidos;NEG
496;Algo muito sério e os desenhos e filmes tentam dizer que uns faz mal e culpa inocentes em alguns casos, pra não haver muito mais sofrimento, eles fazem isso;NEG
497;Como nos padrinhos mágicos foi no ep 16 da 1ª temporada se ela só teve 12??? Rick e Morty tem um spinoff que o Rick fala que ele é o morty no futuro.;NEU
498;Alguém no dia 19 de novembro?;NEU
499;Eai luca e dani molo;POS
500;Boa noite, espero que esteja tudo bem. Se não for pedir muito… podem fazer um vídeo sobre os alienígenas no mar ???;NEU
501;BORA CHEGAR AOS 50 MILHÕES GALERA;POS
502;eles nem respondem os comentários;NEG
503;????á ???;POS
504;você sabia saber de tudo;NEU
505;Tá faltando os vídeos que vcs faziam do sete além  nossa era muito show eu pelo menos adorava tem que voltar;NEG
506;Vc sabia sobre desenhos antigos muito bom,toda criança assistiu esses desenhos nostalgia pura kkk.;POS
507;Alguém em 2038 também;NEU
508;se vcs fosem meus professores e eu faltasse aula entraria em depressão;NEU
509;Hmmmm;POS
510;Essa nova câmera é dahora!;NEU
511;IAE gurizada tudo bem?;POS
512;Kkk esse trem do dedos é tá ingual do Lula ??;NEG
513;Alguém apoia pra eles trazerem os vídeos de Setealem?;NEU
514;FINALMENTE VIDEOS NÃO REPRISADOS;NEG
515;Não pode!!;NEG
516;Se vocês dois fossem professores, eu nunca faltaria na escola;NEU
517;Esse é o vídeo que eu precisava ????????;NEU
518;Gosto desses tipo de conteúdos;POS
